candidate_id,image_name,confidence,model_id,decision,raw_response,latency_ms
husky_000__000,husky_000.jpg,0.89404296875,Qwen/Qwen3.5-0.8B,yes,Yes,1070.3983799903654
husky_000__001,husky_000.jpg,0.69091796875,Qwen/Qwen3.5-0.8B,yes,Yes,1116.6987219912698
husky_003__000,husky_003.jpg,0.9189453125,Qwen/Qwen3.5-0.8B,yes,Yes,687.6210880000144
husky_003__001,husky_003.jpg,0.9150390625,Qwen/Qwen3.5-0.8B,yes,Yes,687.231272997451
husky_003__002,husky_003.jpg,0.9072265625,Qwen/Qwen3.5-0.8B,yes,Yes,699.1286570118973
husky_003__003,husky_003.jpg,0.90185546875,Qwen/Qwen3.5-0.8B,yes,Yes,1055.9116969961906
husky_003__004,husky_003.jpg,0.8828125,Qwen/Qwen3.5-0.8B,yes,Yes,755.1054330106126
husky_004__000,husky_004.jpg,0.86181640625,Qwen/Qwen3.5-0.8B,yes,Yes,745.9885989956092
husky_004__001,husky_004.jpg,0.8173828125,Qwen/Qwen3.5-0.8B,yes,Yes,759.21643699985
husky_004__002,husky_004.jpg,0.787109375,Qwen/Qwen3.5-0.8B,yes,Yes,753.8493589963764
husky_004__003,husky_004.jpg,0.420654296875,Qwen/Qwen3.5-0.8B,yes,Yes,733.4464979940094
husky_011__000,husky_011.jpg,0.908203125,Qwen/Qwen3.5-0.8B,yes,Yes,1198.2928440120304
husky_011__001,husky_011.jpg,0.82861328125,Qwen/Qwen3.5-0.8B,yes,Yes,755.2990190015407
husky_013__000,husky_013.jpg,0.6083984375,Qwen/Qwen3.5-0.8B,yes,Yes,1114.215207999223
husky_013__001,husky_013.jpg,0.3896484375,Qwen/Qwen3.5-0.8B,yes,Yes,1116.2268210027833
husky_014__000,husky_014.jpg,0.90576171875,Qwen/Qwen3.5-0.8B,yes,Yes,745.282984993537
husky_014__001,husky_014.jpg,0.8681640625,Qwen/Qwen3.5-0.8B,yes,Yes,749.3437329976587
husky_014__002,husky_014.jpg,0.86474609375,Qwen/Qwen3.5-0.8B,yes,Yes,737.0183739985805
husky_017__000,husky_017.jpg,0.86376953125,Qwen/Qwen3.5-0.8B,yes,Yes,855.2979670057539
husky_017__001,husky_017.jpg,0.57275390625,Qwen/Qwen3.5-0.8B,yes,Yes,743.9069999963976
husky_025__000,husky_025.jpg,0.93505859375,Qwen/Qwen3.5-0.8B,yes,Yes,738.819413993042
husky_025__001,husky_025.jpg,0.90380859375,Qwen/Qwen3.5-0.8B,yes,Yes,833.1933689914877
husky_025__002,husky_025.jpg,0.88134765625,Qwen/Qwen3.5-0.8B,yes,Yes,754.4139300007373
husky_025__003,husky_025.jpg,0.87353515625,Qwen/Qwen3.5-0.8B,yes,Yes,1127.4013189977268
husky_025__004,husky_025.jpg,0.86669921875,Qwen/Qwen3.5-0.8B,yes,Yes,828.6357920005685
husky_027__000,husky_027.jpg,0.89794921875,Qwen/Qwen3.5-0.8B,yes,Yes,2155.4797959979624
husky_027__001,husky_027.jpg,0.86181640625,Qwen/Qwen3.5-0.8B,yes,Yes,1230.4494229902048
husky_027__002,husky_027.jpg,0.85498046875,Qwen/Qwen3.5-0.8B,yes,Yes,1497.1163840091322
husky_027__003,husky_027.jpg,0.80322265625,Qwen/Qwen3.5-0.8B,yes,Yes,728.6880200117594
husky_028__000,husky_028.jpg,0.85400390625,Qwen/Qwen3.5-0.8B,yes,Yes,1945.6058509967988
husky_028__001,husky_028.jpg,0.77392578125,Qwen/Qwen3.5-0.8B,yes,Yes,958.866789995227
husky_028__002,husky_028.jpg,0.53125,Qwen/Qwen3.5-0.8B,yes,Yes,2529.3471579934703
husky_029__000,husky_029.jpg,0.8759765625,Qwen/Qwen3.5-0.8B,yes,Yes,2125.412894994952
husky_029__001,husky_029.jpg,0.80859375,Qwen/Qwen3.5-0.8B,yes,Yes,1886.9859670085134
husky_029__002,husky_029.jpg,0.5361328125,Qwen/Qwen3.5-0.8B,yes,Yes,743.6144590028562
husky_029__003,husky_029.jpg,0.1795654296875,Qwen/Qwen3.5-0.8B,yes,Yes,1103.825455007609
husky_031__000,husky_031.jpg,0.91357421875,Qwen/Qwen3.5-0.8B,yes,Yes,928.532088000793
husky_031__001,husky_031.jpg,0.87890625,Qwen/Qwen3.5-0.8B,yes,Yes,751.1619680008152
husky_035__000,husky_035.jpg,0.92138671875,Qwen/Qwen3.5-0.8B,yes,Yes,1106.0647389967926
husky_035__001,husky_035.jpg,0.794921875,Qwen/Qwen3.5-0.8B,yes,Yes,1112.9134799994063
husky_053__000,husky_053.jpg,0.73876953125,Qwen/Qwen3.5-0.8B,yes,Yes,1529.185329010943
husky_053__001,husky_053.jpg,0.71484375,Qwen/Qwen3.5-0.8B,yes,Yes,2330.522809003014
husky_053__002,husky_053.jpg,0.21142578125,Qwen/Qwen3.5-0.8B,yes,Yes,1253.0454829975497
husky_053__003,husky_053.jpg,0.1727294921875,Qwen/Qwen3.5-0.8B,no,No,745.111051001004
husky_054__000,husky_054.jpg,0.9072265625,Qwen/Qwen3.5-0.8B,yes,Yes,730.3570439980831
husky_054__001,husky_054.jpg,0.90185546875,Qwen/Qwen3.5-0.8B,yes,Yes,732.938411005307
husky_054__002,husky_054.jpg,0.8798828125,Qwen/Qwen3.5-0.8B,yes,Yes,736.8816689995583
