candidate_id,image_name,confidence,model_id,decision,raw_response,latency_ms
husky_000__000,husky_000.jpg,0.89404296875,Qwen/Qwen3.5-2B,yes,Yes,2974.21310399659
husky_000__001,husky_000.jpg,0.69091796875,Qwen/Qwen3.5-2B,yes,Yes,3254.6518799936166
husky_003__000,husky_003.jpg,0.9189453125,Qwen/Qwen3.5-2B,yes,Yes,2279.129518996342
husky_003__001,husky_003.jpg,0.9150390625,Qwen/Qwen3.5-2B,yes,Yes,2283.6335949978093
husky_003__002,husky_003.jpg,0.9072265625,Qwen/Qwen3.5-2B,yes,Yes,2309.9627970077563
husky_003__003,husky_003.jpg,0.90185546875,Qwen/Qwen3.5-2B,yes,Yes,2366.912344004959
husky_003__004,husky_003.jpg,0.8828125,Qwen/Qwen3.5-2B,yes,Yes,2384.0371940023037
husky_004__000,husky_004.jpg,0.86181640625,Qwen/Qwen3.5-2B,yes,Yes,2465.4421689920127
husky_004__001,husky_004.jpg,0.8173828125,Qwen/Qwen3.5-2B,yes,Yes,2398.6049509985605
husky_004__002,husky_004.jpg,0.787109375,Qwen/Qwen3.5-2B,yes,Yes,2381.828138997662
husky_004__003,husky_004.jpg,0.420654296875,Qwen/Qwen3.5-2B,yes,Yes,2365.47707299178
husky_011__000,husky_011.jpg,0.908203125,Qwen/Qwen3.5-2B,yes,Yes,3391.544470010558
husky_011__001,husky_011.jpg,0.82861328125,Qwen/Qwen3.5-2B,yes,Yes,2363.307765001082
husky_013__000,husky_013.jpg,0.6083984375,Qwen/Qwen3.5-2B,yes,Yes,3223.2640540023567
husky_013__001,husky_013.jpg,0.3896484375,Qwen/Qwen3.5-2B,yes,Yes,3240.0976289936807
husky_014__000,husky_014.jpg,0.90576171875,Qwen/Qwen3.5-2B,yes,Yes,2377.467949001584
husky_014__001,husky_014.jpg,0.8681640625,Qwen/Qwen3.5-2B,yes,Yes,2383.2025339943357
husky_014__002,husky_014.jpg,0.86474609375,Qwen/Qwen3.5-2B,yes,Yes,2349.4922959944233
husky_017__000,husky_017.jpg,0.86376953125,Qwen/Qwen3.5-2B,yes,Yes,2368.9811910007847
husky_017__001,husky_017.jpg,0.57275390625,Qwen/Qwen3.5-2B,yes,Yes,2366.1028540082043
