frame_index,source,class_id,class_name,confidence,x1,y1,x2,y2
0,husky_000.jpg,0,husky,0.89404296875,87.65624237060547,234.84373474121094,424.2187194824219,557.8124389648438
0,husky_000.jpg,0,husky,0.69091796875,24.374998092651367,16.406248092651367,311.9530944824219,527.8124389648438
1,husky_003.jpg,0,husky,0.9189453125,267.7359313964844,91.4671859741211,405.1218566894531,296.0
1,husky_003.jpg,0,husky,0.9150390625,0.8332030773162842,107.85350799560547,132.10897827148438,295.8796691894531
1,husky_003.jpg,0,husky,0.9072265625,109.61249542236328,109.0570297241211,213.85545349121094,296.0
1,husky_003.jpg,0,husky,0.90185546875,368.83123779296875,77.765625,473.9999694824219,296.0
1,husky_003.jpg,0,husky,0.8828125,172.38046264648438,62.58280944824219,293.47265625,296.0
2,husky_004.jpg,0,husky,0.86181640625,201.5,239.0,405.0,362.5
2,husky_004.jpg,0,husky,0.8173828125,20.4375,312.0,236.0,477.0
2,husky_004.jpg,0,husky,0.787109375,121.1875,125.0625,249.75,194.5
2,husky_004.jpg,0,husky,0.420654296875,203.875,151.75,477.0,342.25
3,husky_011.jpg,0,husky,0.908203125,51.114845275878906,46.61250305175781,413.1562805175781,393.02813720703125
3,husky_011.jpg,0,husky,0.82861328125,374.48907470703125,110.96953582763672,602.784423828125,311.9859619140625
4,husky_013.jpg,0,husky,0.6083984375,185.02732849121094,46.310935974121094,430.4320068359375,546.6421508789062
4,husky_013.jpg,0,husky,0.3896484375,61.675777435302734,28.132810592651367,303.1851501464844,539.7171630859375
5,husky_014.jpg,0,husky,0.90576171875,236.62966918945312,108.87187194824219,471.40777587890625,378.8296813964844
5,husky_014.jpg,0,husky,0.8681640625,46.65937423706055,96.28124237060547,201.82029724121094,379.0
5,husky_014.jpg,0,husky,0.86474609375,128.12811279296875,129.2390594482422,302.5452880859375,379.0
6,husky_017.jpg,0,husky,0.86376953125,89.58984375,19.443359375,255.234375,183.0
6,husky_017.jpg,0,husky,0.57275390625,52.71728515625,4.619140625,115.478515625,181.435546875
7,husky_025.jpg,0,husky,0.93505859375,1.4375001192092896,328.32501220703125,183.13751220703125,552.5750732421875
